sentence,label
"A Munich resident would never do that, because you don't play with food.",2
"Of course, the Hofbrachaus mascot Alois is also present, but they'll have to tell the legend of the drinking male man another time.",2
The Hacquat tent shines with a beautiful panorama of the city of Munich.,2
It has become one of the most popular tents and is therefore often the first to close due to overcrowding.,2
It is advertised as the heaven of the Bevarian.,2
"When you see the interior, you know why.",2
And it has become more and more popular among young people.,2
The Agustina tent on the other hand is more for traditionalists.,2
"And when I say that, you have to take it with a grain of salt.",2
The band in the Agustina plays many Bevarian classics and polkas.,2
"Towards the evening, however, it picks up just as much with party hits.",2
And bands in so-called party tents also tend to play Bevarian classics at lunchtime.,2
But was distinguishes Agustina tents from all the other tents?,2
Wouldn't 200 liter barat's? Hirschen are still tapped here.,2
While other tents all you steal containers for their beer.,2
The barat you see in other tents are just decoration.,2
"And because I keep talking about how to get into a tent, the beer garden in front of the tents is a great alternative, especially when the weather is nice.",2
And sometimes it's even the better solution if you don't feel like parting or if you just want to have lunch with the family.,2
The next tent is arguably the most important one.,2
Why is it the most important one? Because here the first barrel is tapped by the mayor of Munich.,2
And did I tell you to subscribe that I would be there next year?,2
"Well, anyway, the Schottenhamel has its name from the family Schottenhamel.",2
"But since Schottem means Scotsman in German and Hamel means Mutton, there's a Mutton with a flat head as emblem.",2
"The Schottenhamel is also important because in 1872, the landlord ran out of normal summer beer and had to serve the stronger mayor's and beer as a result.",2
"After initial protest, it became today's October Fest beer.",2
"And another little anecdote. In 1908, the Schottenhamel became the first electrified October Fest tent.",2
"Back then, a 17-year-old Albert Einstein had with the wiring.",2
"Today, the Schottenhamel is considered a party tent and is still popular among young people.",2
And that's the corner where I had wild October Fest parties in my younger years.,2
Next up is the Breurusel.,2
The Breurusel is once again a fixed meeting point for the AG BTQ scene.,2
I was here on Ruezel Montag the day after gay Sunday and maybe that's why the rainbow flag was hanging here or maybe it always hangs here.,2
Correct me in the comments.,2
"But whether you're gay or not, everyone is welcome at the Breurusel and the beautiful covered outdoor balcony invites you to stay in on warm autumn evenings.",2
The Polarna tent is very close by.,2
"In addition to cold Polarna October Fest beer, it also serves Germany's most popular soft drink.",2
Polarna Spitzi.,2
I told you non beer drinkers are also welcome at the October Fest.,2
Of course they also have a warm kitchen like all festival tents.,2
Opposite the Polarna tent is the Lüvenboy tent.,2
"It was my favorite tent as a child, not because I spent even a minute in it, but because of that.",2
"It's not my tent today either, but apparently the tent is very popular with many Italians and they create a good atmosphere.",2
"And because the tent was the first to switch to LED, it has won many environmental awards.",2
"Next to the Bavaria statue, you will find their Schützenfestzeit, the tent for the marksman.",2
This tent refers to the tradition of marksmen as well.,2
There's also a shooting range here.,2
"Apparently you can actually shoot an air rifle and air pistol here, but only if you haven't drunk any alcohol beforehand.",2
Alcohol and weapons are not a good combination.,2
Anyone who knows more about this should leave a comment.,2
"And if you're wondering why the tent is so beautiful decorated, it doesn't always look quite so nice.",2
"The day I was filming was Regina's sixth ladies day, the owner of the sixth car rental company.",2
Once a year she invites successful women from all fields to the October Fest.,2
"In recent years the Schützenfestzeit has become a popular partitent, and I know many people whose favorite tent it is.",2
"If you don't like beer but prefer wine, Kuflas wine tent might be something for you.",2
Wine has been available at the October Fest for a long time.,2
"The atmosphere is a little bit more dignified to match the drink, but by no means bad.",2
"As the wine tent doesn't close at 11 pm, like the beer tents, but only at 1 am, it is the place to go for many who want to continue partying.",2
"However, the bounces are strict. If you are too drunk, you have no chance of getting in.",2
And the last tent is the Kifat tent.,2
This is where the who is who of Munich meets and after Bayern celebrates here once a year.,2
"More exuberant after victories, only mineral water is served after defeats.",2
"It's the only tent where I wasn't able to take any photos inside, because it was already closed due to overcrowding.",2
But I'm not part of the chic society and I have no business being there.,2
"So these were all the big tents at the October Fest, but before I leave you, I give you a few tips on how to behave.",2
"If you are in a tent and it's closed, don't leave the tent.",2
You won't be able to get back.,2
Use the toilets in the tent.,2
"Because what is the excuse security here most often? I have to go into the tent, there are all my friends.",2
"Even if it's true, nobody will believe you.",2
Second advice. Don't get on the tables. You are only allowed to stand on the benches.,2
You will be kicked out sooner than you think.,2
Third advice. Don't steal the glasses. They will catch you and you will have to pay a hefty fine.,2
"Fourth advice. Never ever sit or lay on the cot's eagle, the pukele.",2
It's a little hill behind the tents.,2
I took these pictures on the first day and maybe it is still acceptable to sit there.,2
"But in the evening, this hill is soaked with all bodily fluids you can imagine, vomit, wide yellow red and brown fluids.",2
This is the hill of shame. Avoid it.,2
Fifth and last advice. The October Fest with its six to seven million visitors is a relatively safe festival.,2
"However, when so many people come together under the influence of alcohol, they are naturally also problems.",2
"If you get into trouble, go behind the shot and hummlet tent.",2
There you will find the October Fest police and paramedics if you are injured.,2
"And for the ladies, in recent years, the City of Munich has done a lot to increase the safety of women as well.",2
You will also find awareness teams there if you feel harassed.,2
I hope you enjoyed the video.,2
Leave a comment to tell me what your favorite tent is.,2
Or simply tell me about your experiences.,2
"If you are interested in a guided tour, here is my email address.",2
See you in the next video.,2
